RMS Current (A),RMS Voltage (V),Load Combinations,%Belt Tension,Power (W),%Power/Nominal_Power,Load,Class_3,Normalized_Power,Normalized_Load
2.18,240.594,5,85,244,25,2,2,0.309,0.333
2.192,240.045,3,75,244,25,2,2,0.309,0.2
2.165,240.481,12,85,242,25,2,2,0.279,0.8
2.239,237.548,7,85,248,25,3,2,0.368,0.467
2.176,240.012,7,75,245,25,3,2,0.324,0.467
2.194,240.041,14,75,247,25,3,2,0.353,0.933
2.394,237.092,8,95,263,27,1,3,0.588,0.533
2.165,237.434,11,85,240,24,3,2,0.25,0.733
2.192,240.432,6,75,246,25,2,2,0.338,0.4
2.489,237.489,5,95,272,28,2,3,0.721,0.333
2.458,237.445,4,95,271,28,1,3,0.706,0.267
2.174,240.998,12,85,241,25,2,2,0.265,0.8
2.406,236.749,14,95,276,28,3,3,0.779,0.933
2.139,240.139,13,75,242,25,3,2,0.279,0.867
2.158,239.717,11,75,241,25,3,2,0.265,0.733
2.206,239.61,14,75,246,25,3,2,0.338,0.933
2.455,237.165,9,95,269,27,2,3,0.676,0.6
2.392,236.898,3,95,270,27,2,3,0.691,0.2
2.195,240.371,6,75,245,25,2,2,0.324,0.4
2.559,237.095,7,95,278,28,3,3,0.809,0.467
2.166,240.685,8,85,239,24,1,2,0.235,0.533
2.504,236.925,13,95,275,28,3,3,0.765,0.867
2.517,237.49,5,95,274,28,2,3,0.75,0.333
2.177,240.191,4,75,243,25,1,2,0.294,0.267
2.449,236.969,13,95,276,28,3,3,0.779,0.867
2.432,237.315,3,95,275,28,2,3,0.765,0.2
2.157,239.614,11,75,241,25,3,2,0.265,0.733
2.178,240.426,9,85,240,24,2,2,0.25,0.6
2.162,239.631,4,75,241,25,1,2,0.265,0.267
2.417,237.213,13,95,273,28,3,3,0.735,0.867
2.179,240.467,1,75,241,25,1,2,0.265,0.067
2.116,239.607,0,30,227,23,0,1,0.059,0.0
2.094,240.041,0,60,232,24,0,1,0.132,0.0
2.194,236.918,15,85,243,25,4,2,0.294,1.0
2.17,240.58,2,85,246,25,1,2,0.338,0.133
2.166,239.553,4,75,241,25,1,2,0.265,0.267
2.148,239.397,0,15,232,24,0,1,0.132,0.0
2.405,237.031,6,95,272,28,2,3,0.721,0.4
2.169,240.307,4,85,244,25,1,2,0.309,0.267
2.432,237.491,10,95,272,28,2,3,0.721,0.667
2.182,241.031,5,85,243,25,2,2,0.294,0.333
2.2,240.232,3,75,246,25,2,2,0.338,0.2
2.42,236.976,6,95,273,28,2,3,0.735,0.4
2.181,240.59,9,85,242,25,2,2,0.279,0.6
2.181,240.137,0,85,239,24,0,2,0.235,0.0
2.189,240.98,10,75,245,25,2,2,0.324,0.667
2.177,240.42,9,85,244,25,2,2,0.309,0.6
2.153,240.231,2,75,241,25,1,2,0.265,0.133
2.184,240.658,10,75,244,25,2,2,0.309,0.667
2.529,236.871,6,95,278,28,2,3,0.809,0.4
2.181,240.662,7,75,246,25,3,2,0.338,0.467
2.182,240.026,1,85,243,25,1,2,0.294,0.067
2.367,237.741,1,95,264,27,1,3,0.603,0.067
2.385,237.36,4,95,266,27,1,3,0.632,0.267
2.499,236.74,13,95,278,28,3,3,0.809,0.867
2.141,239.505,0,0,230,24,0,1,0.103,0.0
2.19,239.675,14,75,245,25,3,2,0.324,0.933
2.158,237.573,13,85,240,24,3,2,0.25,0.867
2.402,237.421,2,95,266,27,1,3,0.632,0.133
2.135,240.628,0,45,233,24,0,1,0.147,0.0
2.205,240.608,3,75,245,25,2,2,0.324,0.2
2.113,240.461,0,60,234,24,0,1,0.162,0.0
2.167,240.483,10,85,243,25,2,2,0.294,0.667
2.179,240.292,14,75,246,25,3,2,0.338,0.933
2.518,237.467,14,95,280,28,3,3,0.838,0.933
2.54,237.247,5,95,275,28,2,3,0.765,0.333
2.38,237.73,0,95,266,27,0,3,0.632,0.0
2.167,240.499,9,85,243,25,2,2,0.294,0.6
2.166,240.195,2,85,244,25,1,2,0.309,0.133
2.161,240.377,5,75,243,25,2,2,0.294,0.333
2.237,236.831,7,85,249,25,3,2,0.382,0.467
2.178,240.5,7,75,246,25,3,2,0.338,0.467
2.455,237.18,15,95,281,29,4,3,0.853,1.0
2.139,240.122,2,75,241,25,1,2,0.265,0.133
2.442,237.118,3,95,275,28,2,3,0.765,0.2
2.542,236.813,7,95,280,28,3,3,0.838,0.467
2.178,237.184,11,85,241,25,3,2,0.265,0.733
2.158,240.567,4,75,242,25,1,2,0.279,0.267
2.164,240.626,15,75,246,25,4,2,0.338,1.0
2.207,240.703,12,75,245,25,2,2,0.324,0.8
2.151,240.092,11,75,241,25,3,2,0.265,0.733
2.165,240.439,0,75,239,24,0,2,0.235,0.0
2.167,240.136,4,75,242,25,1,2,0.279,0.267
2.166,240.127,0,75,239,24,0,2,0.235,0.0
2.167,239.79,15,75,246,25,4,2,0.338,1.0
2.143,240.058,13,75,241,25,3,2,0.265,0.867
2.505,236.872,7,95,282,29,3,3,0.868,0.467
2.178,240.704,2,85,244,25,1,2,0.309,0.133
2.176,237.122,11,85,241,25,3,2,0.265,0.733
2.522,237.004,14,95,273,28,3,3,0.735,0.933
2.173,240.627,3,85,243,25,2,2,0.294,0.2
2.177,239.795,4,75,240,24,1,2,0.25,0.267
2.199,237.036,15,85,242,25,4,2,0.279,1.0
2.504,236.906,5,95,272,28,2,3,0.721,0.333
2.193,239.59,14,75,246,25,3,2,0.338,0.933
2.472,237.089,5,95,274,28,2,3,0.75,0.333
2.179,241.133,5,85,245,25,2,2,0.324,0.333
2.174,237.136,11,85,241,25,3,2,0.265,0.733
2.156,240.353,1,75,240,24,1,2,0.25,0.067
2.165,241.045,9,75,242,25,2,2,0.279,0.6
2.433,237.352,4,95,269,27,1,3,0.676,0.267
2.15,240.503,8,85,241,25,1,2,0.265,0.533
2.202,241.293,6,85,248,25,2,2,0.368,0.4
2.188,240.59,12,75,245,25,2,2,0.324,0.8
2.209,240.533,6,75,247,25,2,2,0.353,0.4
2.162,240.336,12,85,240,25,2,2,0.25,0.8
2.177,240.109,0,70,238,24,0,1,0.221,0.0
2.483,237.605,3,95,273,28,2,3,0.735,0.2
2.176,240.167,5,75,244,25,2,2,0.309,0.333
2.128,239.836,0,0,230,24,0,1,0.103,0.0
2.187,236.587,6,85,247,24,2,2,0.353,0.4
2.25,237.124,7,85,249,25,3,2,0.382,0.467
2.192,240.054,6,75,245,25,2,2,0.324,0.4
2.482,237.228,10,95,273,28,2,3,0.735,0.667
2.366,237.567,0,95,264,27,0,3,0.603,0.0
2.374,237.063,9,95,266,27,2,3,0.632,0.6
2.23,237.111,7,85,247,25,3,2,0.353,0.467
2.354,237.744,1,95,265,27,1,3,0.618,0.067
2.162,240.205,5,75,241,25,2,2,0.265,0.333
2.172,240.248,7,75,245,25,3,2,0.324,0.467
2.17,240.547,7,75,245,25,3,2,0.324,0.467
2.118,240.646,1,70,233,24,1,1,0.147,0.067
2.159,240.24,8,85,239,24,1,2,0.235,0.533
2.192,240.755,3,85,243,25,2,2,0.294,0.2
2.166,236.643,6,85,246,24,2,2,0.338,0.4
2.173,240.341,7,75,245,25,3,2,0.324,0.467
2.185,240.271,3,85,242,25,2,2,0.279,0.2
2.471,236.926,6,95,276,28,2,3,0.779,0.4
2.105,240.285,0,60,231,24,0,1,0.118,0.0
